mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0883108139038086,0.0246136230386734,0.007108020782470703,0.002155891890005641,2,3,,"{'max_features': 2, 'n_estimators': 3}",-1667498522.4177682,-1550831051.6767921,-1271076475.9271822,-1489602003.1628644,-1310335947.570092,-1457868800.15094,148493038.0990133,18,-505083174.0647875,-481073346.12887675,-387714245.0100681,-449081556.5166709,-422383652.49936086,-449067194.84395283,41565321.45857859
0.2829850673675537,0.05111356614396134,0.018851327896118163,0.004237272777991545,2,10,,"{'max_features': 2, 'n_estimators': 10}",-703976097.6490918,-788689347.0233303,-625997588.4127833,-804446774.1762388,-759398230.0943307,-736501607.4711549,65012934.37914266,16,-159353643.41058522,-176450139.30896962,-142754715.89062756,-181532733.27017486,-174269083.18911126,-166872063.0138937,14139050.68203523
0.7939916133880616,0.032152276750671074,0.04012422561645508,0.007382890081251294,2,30,,"{'max_features': 2, 'n_estimators': 30}",-544553524.5042032,-528897487.93731254,-507905456.77069086,-545210051.2092197,-551340070.2601216,-535581318.1363096,15698268.341795824,14,-93787194.98092227,-97022650.8682258,-90834095.4353589,-95672431.20063841,-95352926.24770999,-94533859.74657108,2116934.5935721793
0.1051645278930664,0.01855470675140797,0.00532383918762207,0.0016533466755333382,4,3,,"{'max_features': 4, 'n_estimators': 3}",-259183505.30581626,-254578991.86113635,-501974985.9235816,-359756672.8219934,-268343175.61811027,-328767466.30612755,94824182.61881478,12,-80107555.24691078,-87650732.92036574,-141525064.46251154,-118821012.67195725,-87214728.76498444,-103063818.81334594,23423507.3557331
0.39493069648742674,0.051382254954150226,0.012884855270385742,0.004259694820907041,4,10,,"{'max_features': 4, 'n_estimators': 10}",-123565541.9018014,-143028100.83851954,-188734289.69817683,-147359824.1776166,-130209973.71368867,-146579546.0659606,22750170.524622977,8,-32700630.431460362,-39753087.59866833,-45671637.154149875,-38599492.20779712,-36266018.25465934,-38598173.129347004,4279899.03419512
1.312221145629883,0.09276422211993937,0.04858441352844238,0.011839758112007123,4,30,,"{'max_features': 4, 'n_estimators': 30}",-102981868.02448617,-78344060.13100179,-102732078.97345817,-93119599.78690457,-87227832.01981191,-92881087.78713253,9406478.093061915,6,-19627942.049099434,-16860013.603733566,-20354814.962588355,-18513183.52849449,-17535149.3203229,-18578220.69284775,1288616.7348794017
0.16771745681762695,0.043512630025640944,0.006289768218994141,0.0018410259275055778,6,3,,"{'max_features': 6, 'n_estimators': 3}",-273573067.1885491,-181911223.89104182,-121460878.34749983,-156038328.38643244,-250040758.49700516,-196604851.26210564,57074801.04888604,9,-92952238.57904123,-70619968.78604655,-39634017.19044495,-47600388.437934235,-90586341.81206997,-68278590.96110739,21725590.215292186
0.5561203002929688,0.03983518443345421,0.015200567245483399,0.005370228780973435,6,10,,"{'max_features': 6, 'n_estimators': 10}",-70304999.15069027,-44395890.89116561,-41688612.78414597,-38657815.6146063,-47082208.270207025,-48425905.342163034,11292014.630850224,5,-20250553.616719656,-13532194.941825267,-11213515.513433756,-11899152.842447381,-15367028.233847478,-14452489.029654708,3234543.2828626414
1.760487937927246,0.08150481370725497,0.03793931007385254,0.010798846349039408,6,30,,"{'max_features': 6, 'n_estimators': 30}",-33482725.380734347,-20492421.311868675,-29079599.02042028,-23809898.22270005,-24944476.252085708,-26361824.03756181,4495878.67413198,4,-7873302.004442677,-5069903.197669938,-6166779.543555471,-5739582.740223819,-6822928.461834976,-6334499.189545376,957886.813893685
0.2429675579071045,0.027343687838471485,0.006791114807128906,0.0016286042574047872,8,3,,"{'max_features': 8, 'n_estimators': 3}",-22373773.022471156,-29834903.444007136,-14139565.853893263,-29289603.267346397,-31870407.48186285,-25501650.61391616,6520234.930708358,3,-7689513.208233442,-9817662.976404974,-4942398.690049627,-7823298.967894692,-12762706.040179998,-8607115.976552546,2593101.2147331415
0.7689508438110352,0.08065938445934066,0.015363931655883789,0.003162279410581517,8,10,,"{'max_features': 8, 'n_estimators': 10}",-14328533.376893729,-9482091.878564937,-9064411.430672318,-10955297.3665324,-17028897.41422774,-12171846.293378225,3053298.7504050606,2,-3958816.0978348074,-3040189.316244983,-2995363.676906887,-3656145.9975859174,-5155609.22981756,-3761224.8636780307,787505.8402975459
2.170080471038818,0.06767442459621106,0.04902582168579102,0.01035769379040389,8,30,,"{'max_features': 8, 'n_estimators': 30}",-7565199.744832308,-5544400.427130888,-5998200.937785517,-6188559.241825493,-5595211.735200216,-6178314.417354884,734554.6158674461,1,-1752056.319841101,-1368467.3823671571,-1547472.3439581122,-1636380.8202554458,-1645242.2165376395,-1589923.8165918912,128335.81492328536
0.14912915229797363,0.014531922523281053,0.008992338180541992,0.00022228446283238375,2,3,False,"{'bootstrap': False, 'max_features': 2, 'n_estimators': 3}",-1198206024.4434016,-1654051914.4329062,-1263142248.978969,-1352872780.8117638,-1371275824.8831012,-1367909758.7100282,156134789.78550264,17,-0.0,-0.0,-0.0,-2628.480107662533,-20.5231726806281,-529.8006560686323,1049.3698300542812
